mpg;zylinder;ps;gewicht;beschleunigung;baujahr
18.00;8;130;3504;12;70
15.00;8;165;3693;11.5;70
18.00;8;150;3436;11;70
16.00;8;150;3433;12;70
17.00;8;140;3449;10.5;70
15.00;8;198;4341;10;70
14.00;8;220;4354;9;70
14.00;8;215;4312;8.5;70
14.00;8;225;4425;10;70
15.00;8;190;3850;8.5;70
15.00;8;170;3563;10;70
14.00;8;160;3609;8;70
15.00;8;150;3761;9.5;70
14.00;8;225;3086;10;70
24.00;4;95;2372;15;70
22.00;6;95;2833;15.5;70
18.00;6;97;2774;15.5;70
21.00;6;85;2587;16;70
27.00;4;88;2130;14.5;70
26.00;4;46;1835;20.5;70
25.00;4;87;2672;17.5;70
24.00;4;90;2430;14.5;70
25.00;4;95;2375;17.5;70
26.00;4;113;2234;12.5;70
21.00;6;90;2648;15;70
10.00;8;215;4615;14;70
10.00;8;200;4376;15;70
11.00;8;210;4382;13.5;70
9.00;8;193;4732;18.5;70
27.00;4;88;2130;14.5;71
28.00;4;90;2264;15.5;71
25.00;4;95;2228;14;71
25.00;4;104;2046;19;71
19.00;6;100;2634;13;71
16.00;6;105;3439;15.5;71
17.00;6;100;3329;15.5;71
19.00;6;88;3302;15.5;71
18.00;6;100;3288;15.5;71
14.00;8;165;4209;12;71
14.00;8;175;4464;11.5;71
14.00;8;153;4154;13.5;71
14.00;8;150;4096;13;71
12.00;8;180;4955;11.5;71
13.00;8;170;4746;12;71
13.00;8;175;5140;12;71
18.00;6;110;2962;13.5;71
22.00;4;72;2408;19;71
19.00;6;100;3282;15;71
18.00;6;88;3139;14.5;71
23.00;4;86;2220;14;71
28.00;4;90;2123;14;71
30.00;4;70;2074;19.5;71
30.00;4;76;2065;14.5;71
31.00;4;65;1773;19;71
35.00;4;69;1613;18;71
27.00;4;60;1834;19;71
26.00;4;70;1955;20.5;71
24.00;4;95;2278;15.5;72
25.00;4;80;2126;17;72
23.00;4;54;2254;23.5;72
20.00;4;90;2408;19.5;72
21.00;4;86;2226;16.5;72
13.00;8;165;4274;12;72
14.00;8;175;4385;12;72
14.00;8;153;4129;13;72
17.00;8;150;3672;11.5;72
11.00;8;208;4633;11;72
13.00;8;155;4502;13.5;72
12.00;8;160;4456;13.5;72
13.00;8;190;4422;12.5;72
19.00;3;97;2330;13.5;72
15.00;8;150;3892;12.5;72
13.00;8;130;4098;14;72
13.00;8;140;4294;16;72
14.00;8;150;4077;14;72
18.00;4;112;2933;14.5;72
22.00;4;76;2511;18;72
21.00;4;87;2979;19.5;72
26.00;4;69;2189;18;72
22.00;4;86;2395;16;72
28.00;4;92;2288;17;72
23.00;4;97;2506;14.5;72
28.00;4;80;2164;15;72
27.00;4;88;2100;16.5;72
13.00;8;175;4100;13;73
14.00;8;150;3672;11.5;73
13.00;8;145;3988;13;73
14.00;8;137;4042;14.5;73
15.00;8;150;3777;12.5;73
12.00;8;198;4952;11.5;73
13.00;8;150;4464;12;73
13.00;8;158;4363;13;73
14.00;8;150;4237;14.5;73
13.00;8;215;4735;11;73
12.00;8;225;4951;11;73
13.00;8;175;3821;11;73
18.00;6;105;3121;16.5;73
16.00;6;100;3278;18;73
18.00;6;100;2945;16;73
18.00;6;88;3021;16.5;73
23.00;6;95;2904;16;73
26.00;4;46;1950;21;73
11.00;8;150;4997;14;73
12.00;8;167;4906;12.5;73
13.00;8;170;4654;13;73
12.00;8;180;4499;12.5;73
18.00;6;100;2789;15;73
20.00;4;88;2279;19;73
21.00;4;72;2401;19.5;73
22.00;4;94;2379;16.5;73
18.00;3;90;2124;13.5;73
19.00;4;85;2310;18.5;73
21.00;6;107;2472;14;73
26.00;4;90;2265;15.5;73
15.00;8;145;4082;13;73
16.00;8;230;4278;9.5;73
29.00;4;49;1867;19.5;73
24.00;4;75;2158;15.5;73
20.00;4;91;2582;14;73
19.00;4;112;2868;15.5;73
15.00;8;150;3399;11;73
24.00;4;110;2660;14;73
20.00;6;122;2807;13.5;73
11.00;8;180;3664;11;73
20.00;6;95;3102;16.5;74
21.00;6;104;2875;17;74
19.00;6;100;2901;16;74
15.00;6;100;3336;17;74
31.00;4;67;1950;19;74
26.00;4;80;2451;16.5;74
32.00;4;65;1836;21;74
25.00;4;75;2542;17;74
16.00;6;100;3781;17;74
16.00;6;110;3632;18;74
18.00;6;105;3613;16.5;74
16.00;8;140;4141;14;74
13.00;8;150;4699;14.5;74
14.00;8;150;4457;13.5;74
14.00;8;140;4638;16;74
14.00;8;150;4257;15.5;74
29.00;4;83;2219;16.5;74
26.00;4;67;1963;15.5;74
26.00;4;78;2300;14.5;74
31.00;4;52;1649;16.5;74
32.00;4;61;2003;19;74
28.00;4;75;2125;14.5;74
24.00;4;75;2108;15.5;74
26.00;4;75;2246;14;74
24.00;4;97;2489;15;74
26.00;4;93;2391;15.5;74
31.00;4;67;2000;16;74
18.00;6;105;3459;16;75
15.00;6;72;3432;21;75
15.00;6;72;3158;19.5;75
16.00;8;170;4668;11.5;75
15.00;8;145;4440;14;75
16.00;8;150;4498;14.5;75
14.00;8;148;4657;13.5;75
17.00;6;110;3907;21;75
16.00;6;105;3897;18.5;75
15.00;6;110;3730;19;75
18.00;6;95;3785;19;75
21.00;6;110;3039;15;75
20.00;8;110;3221;13.5;75
13.00;8;129;3169;12;75
29.00;4;75;2171;16;75
23.00;4;83;2639;17;75
20.00;6;100;2914;16;75
23.00;4;78;2592;18.5;75
24.00;4;96;2702;13.5;75
25.00;4;71;2223;16.5;75
24.00;4;97;2545;17;75
18.00;6;97;2984;14.5;75
29.00;4;70;1937;14;75
19.00;6;90;3211;17;75
23.00;4;95;2694;15;75
23.00;4;88;2957;17;75
22.00;4;98;2945;14.5;75
25.00;4;115;2671;13.5;75
33.00;4;53;1795;17.5;75
28.00;4;86;2464;15.5;76
25.00;4;81;2220;16.9;76
25.00;4;92;2572;14.9;76
26.00;4;79;2255;17.7;76
27.00;4;83;2202;15.3;76
17.50;8;140;4215;13;76
16.00;8;150;4190;13;76
15.50;8;120;3962;13.9;76
14.50;8;152;4215;12.8;76
22.00;6;100;3233;15.4;76
22.00;6;105;3353;14.5;76
24.00;6;81;3012;17.6;76
22.50;6;90;3085;17.6;76
29.00;4;52;2035;22.2;76
24.50;4;60;2164;22.1;76
29.00;4;70;1937;14.2;76
33.00;4;53;1795;17.4;76
20.00;6;100;3651;17.7;76
18.00;6;78;3574;21;76
18.50;6;110;3645;16.2;76
